LeadID,Topic,FirstName,LastName,JobTitle,CompanyName,Email,Phone,Industry,LeadSource,Status,Rating,EstimatedValue,EstimatedCloseDate,CreatedOn,ModifiedOn,OwnerID
LEAD-001,Security Audit,Jessica,Garcia,Data Security Officer,TechCorp Inc.,Jessica.garcia@techcorpinc..com,+65 95806324,Financial Services,Partner,Open,Cold,26739,2025-10-23,2025-02-27,2025-03-25,USER-007
LEAD-002,Security Audit,Emma,Garcia,Data Security Officer,Manufacturing Plus,Emma.garcia@manufacturingplus.com,+65 81774941,Non-profit,Event,Converted,Cold,45729,2025-07-18,2024-12-04,2024-12-13,USER-008
LEAD-003,Data Analytics Solution,David,Clark,Security Engineer,Alpha Dynamics,David.clark@alphadynamics.com,+65 96429344,Retail,Direct Mail,Converted,Warm,36313,2025-12-11,2025-01-11,2025-02-09,USER-001
LEAD-004,Data Encryption,John,Lewis,COO,TechCorp Inc.,John.lewis@techcorpinc..com,+65 96615880,Non-profit,Email Campaign,Converted,Hot,26219,2025-09-06,2024-12-18,2024-12-22,USER-018
LEAD-005,Data Analytics Solution,Emma,Lewis,Software Developer,NetSolutions,Emma.lewis@netsolutions.com,+65 98448761,Non-profit,Website,Converted,Cold,15625,2025-12-10,2025-02-18,2025-03-19,USER-004
LEAD-006,Security Awareness Training,Emma,Garcia,Security Manager,TechCorp Inc.,Emma.garcia@techcorpinc..com,+65 97515457,Education,Partner,Open,Cold,40247,2025-01-13,2024-12-06,2024-12-26,USER-002
LEAD-007,ERP Implementation,Jessica,Rodriguez,CEO,DataGuard,Jessica.rodriguez@dataguard.com,+65 94922270,Non-profit,Website,Open,Warm,58281,2025-09-27,2025-01-05,2025-01-21,USER-012
LEAD-008,ERP Implementation,Robert,Clark,IT Manager,DataGuard,Robert.clark@dataguard.com,+65 84851648,Legal,Trade Show,Converted,Warm,56692,2025-11-10,2024-12-21,2025-01-06,USER-015
LEAD-009,Data Encryption,Jessica,Johnson,IT Manager,Cloud Solutions,Jessica.johnson@cloudsolutions.com,+65 90028160,Healthcare,Email Campaign,Open,Warm,25948,2025-04-29,2025-01-05,2025-01-09,USER-006
LEAD-010,Network Security,David,Rodriguez,Data Security Officer,Epsilon Technologies,David.rodriguez@epsilontechnologies.com,+65 97557923,Financial Services,Social Media,Converted,Cold,16510,2025-09-30,2024-12-11,2025-01-07,USER-018
LEAD-011,Digital Transformation,Robert,Smith,Compliance Officer,Summit Solutions,Robert.smith@summitsolutions.com,+65 85994991,Technology,Trade Show,Open,Hot,46102,2025-12-08,2025-01-24,2025-02-03,USER-018
LEAD-012,Cloud Migration,Matthew,Brown,Data Analyst,Analytics Pro,Matthew.brown@analyticspro.com,+65 97574207,Financial Services,Direct Mail,Converted,Hot,45900,2025-12-27,2025-01-11,2025-01-25,USER-001
LEAD-013,Network Security,David,Lee,Data Security Officer,SecurePlus,David.lee@secureplus.com,+65 83854820,Government,Website,Converted,Cold,55501,2025-07-18,2024-12-03,2024-12-08,USER-006
LEAD-014,Digital Transformation,Christopher,Smith,Data Analyst,FinanceFirst,Christopher.smith@financefirst.com,+65 80459944,Legal,Referral,Converted,Cold,16791,2026-01-03,2025-02-19,2025-03-10,USER-016
LEAD-015,Digital Transformation,David,Clark,Cloud Architect,Summit Solutions,David.clark@summitsolutions.com,+65 90417823,Legal,Event,Converted,Warm,10332,2025-05-26,2024-12-24,2025-01-04,USER-016
LEAD-016,Incident Response,Sarah,Davis,Cloud Architect,MedTech,Sarah.davis@medtech.com,+65 97847493,Government,Event,Converted,Warm,23909,2025-03-06,2025-01-31,2025-02-01,USER-003
LEAD-017,Security Awareness Training,Robert,Lewis,IT Manager,NetSolutions,Robert.lewis@netsolutions.com,+65 94932574,Healthcare,Trade Show,Converted,Cold,12361,2026-02-18,2025-02-23,2025-03-22,USER-003
LEAD-018,Network Security,Emma,Davis,Data Analyst,AppSecure,Emma.davis@appsecure.com,+65 82183679,Retail,Email Campaign,Open,Cold,58383,2025-12-18,2025-02-07,2025-02-07,USER-016
LEAD-019,Digital Transformation,Michael,Garcia,Project Manager,GlobalTech,Michael.garcia@globaltech.com,+65 84220892,Education,Website,Converted,Cold,39731,2025-06-20,2025-02-27,2025-03-14,USER-004
LEAD-020,Penetration Testing,Sarah,Lee,Software Developer,MedTech,Sarah.lee@medtech.com,+65 93238800,Technology,Partner,Converted,Warm,31379,2025-10-01,2025-01-14,2025-02-06,USER-016
LEAD-021,Digital Transformation,Robert,Brown,IT Specialist,RetailMart,Robert.brown@retailmart.com,+65 88220183,Retail,Trade Show,Open,Hot,23367,2025-12-18,2025-02-23,2025-02-23,USER-002
LEAD-022,Digital Transformation,Ashley,Lewis,Project Manager,MedTech,Ashley.lewis@medtech.com,+65 96470776,Non-profit,LinkedIn,Converted,Hot,59845,2025-07-07,2025-01-07,2025-01-12,USER-006
LEAD-023,Cloud Migration,David,Lee,CTO,Epsilon Technologies,David.lee@epsilontechnologies.com,+65 99358042,Non-profit,Website,Converted,Cold,12450,2025-02-10,2024-12-29,2025-01-28,USER-017
LEAD-024,Security Awareness Training,Michael,Smith,Data Security Officer,SecurePlus,Michael.smith@secureplus.com,+65 99882972,Education,Event,Open,Hot,26085,2025-08-28,2025-02-10,2025-03-08,USER-011
LEAD-025,Digital Transformation,Emma,Johnson,Consultant,Epsilon Technologies,Emma.johnson@epsilontechnologies.com,+65 82414276,Manufacturing,Direct Mail,Converted,Warm,56018,2025-09-02,2025-01-16,2025-01-25,USER-006
LEAD-026,Security Awareness Training,Ashley,Davis,Security Manager,Office Solutions,Ashley.davis@officesolutions.com,+65 87820847,Financial Services,Email Campaign,Converted,Hot,44733,2025-04-20,2024-12-09,2024-12-26,USER-002
LEAD-027,Data Analytics Solution,John,Lewis,CEO,Beta Innovations,John.lewis@betainnovations.com,+65 80979686,Legal,Partner,Open,Hot,39374,2025-09-15,2024-12-11,2025-01-02,USER-008
LEAD-028,Cloud Migration,Sarah,Brown,IT Specialist,Beta Innovations,Sarah.brown@betainnovations.com,+65 85030921,Manufacturing,Email Campaign,Open,Hot,44428,2025-08-02,2024-12-23,2025-01-01,USER-006
LEAD-029,Network Security,Jessica,Lewis,Security Engineer,Retail Solutions,Jessica.lewis@retailsolutions.com,+65 91800901,Non-profit,Social Media,Open,Warm,50502,2025-05-19,2025-01-27,2025-02-24,USER-002
LEAD-030,Network Security,John,Lee,Consultant,RetailMart,John.lee@retailmart.com,+65 93999550,Government,Webinar,Open,Hot,13214,2025-09-22,2025-02-18,2025-02-24,USER-002
LEAD-031,Penetration Testing,Matthew,Clark,HR Manager,Manufacturing Plus,Matthew.clark@manufacturingplus.com,+65 95671807,Technology,Direct Mail,Open,Hot,48971,2025-09-20,2024-12-11,2024-12-16,USER-012
LEAD-032,Security Awareness Training,Ashley,Clark,IT Director,DataSafe,Ashley.clark@datasafe.com,+65 93910107,Retail,Event,Converted,Warm,53769,2025-01-10,2024-11-30,2024-12-04,USER-016
LEAD-033,Digital Transformation,Jessica,Wilson,CISO,FinanceFirst,Jessica.wilson@financefirst.com,+65 99145116,Retail,Social Media,Open,Cold,24802,2025-04-13,2024-12-24,2025-01-22,USER-005
LEAD-034,Data Encryption,Matthew,Brown,Security Engineer,HealthFirst,Matthew.brown@healthfirst.com,+65 80393640,Non-profit,Email Campaign,Open,Warm,13067,2025-03-10,2025-01-28,2025-02-03,USER-014
LEAD-035,Penetration Testing,Michael,Garcia,Security Analyst,Summit Solutions,Michael.garcia@summitsolutions.com,+65 85057881,Legal,Referral,Converted,Hot,17582,2025-12-22,2025-02-21,2025-02-22,USER-005
LEAD-036,Data Encryption,Michael,Lee,Security Analyst,Epsilon Technologies,Michael.lee@epsilontechnologies.com,+65 88578092,Manufacturing,Referral,Converted,Warm,58390,2025-06-10,2024-12-12,2024-12-25,USER-005
LEAD-037,ERP Implementation,John,Garcia,Data Analyst,CyberSecure,John.garcia@cybersecure.com,+65 96586747,Retail,Social Media,Converted,Cold,25299,2025-12-22,2025-01-06,2025-01-14,USER-002
LEAD-038,Security Awareness Training,Ashley,Rodriguez,CEO,HealthFirst,Ashley.rodriguez@healthfirst.com,+65 94313884,Legal,Webinar,Open,Hot,38124,2026-01-10,2025-02-20,2025-03-14,USER-009
LEAD-039,Digital Transformation,Ashley,Lee,Cloud Architect,MedTech,Ashley.lee@medtech.com,+65 99456694,Consulting,Website,Converted,Hot,26664,2025-02-22,2024-12-30,2025-01-19,USER-002
LEAD-040,Security Audit,Ashley,Clark,IT Director,Zeta Solutions,Ashley.clark@zetasolutions.com,+65 82243658,Manufacturing,Trade Show,Converted,Hot,52532,2025-03-15,2025-01-17,2025-02-13,USER-002
LEAD-041,Penetration Testing,David,Wilson,CTO,LegalEase,David.wilson@legalease.com,+65 90896425,Healthcare,Website,Converted,Warm,21124,2025-10-15,2024-12-20,2025-01-02,USER-004
LEAD-042,ERP Implementation,John,Davis,Cloud Architect,Retail Solutions,John.davis@retailsolutions.com,+65 94159966,Government,Webinar,Open,Hot,35001,2025-08-06,2025-02-24,2025-03-24,USER-006
